neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
1,53,1,19,1,1,14,12
1,53,1,29,1,4,14,320
1,53,1,29,1,1,14,235
1,53,2,9,1,10,14,276
1,53,2,9,1,5,14,275
1,53,2,9,1,58,14,319
1,53,2,9,1,25,14,318
1,53,2,9,1,73,14,314
10,110,0,55,93,11,1,66
11,11,0,85,3,5,1,243
1,32,0,48,7,30,1,0
5,101,0,55,62,40,1,322
4,18,0,129,2,89,1,0
6,49,0,69,2,42,1,94
11,8,0,46,3,16,1,158
1,32,0,55,3,56,4,268
5,103,0,53,5,14,1,311
1,118,0,65,1,2,1,0
6,49,0,89,3,166,1,316
4,18,0,70,5,58,1,7
1,134,1,43,3,202,2,99
0,42,0,125,3,64,1,296
4,121,0,61,4,6,2,0
4,121,0,64,62,18,2,37
6,94,0,60,3,126,1,0
4,2,0,65,3,28,1,0
1,134,0,80,3,23,1,0
1,135,1,55,2,81,2,334
5,102,0,70,2,39,1,338
10,110,0,50,90,104,4,341
10,110,0,59,60,50,4,314
5,101,0,65,3,67,2,0
5,101,1,40,20,4,1,250
4,18,1,76,2,42,1,365
1,118,0,45,270,86,1,190
0,106,0,34,30,15,3,280
0,106,0,50,3,18,3,0
0,106,0,34,30,18,3,249
1,115,0,75,1,3,1,0
5,101,1,65,5,8,1,61
0,57,1,80,60,18,1,3
4,18,0,120,4,10,1,0
6,98,1,50,1,498,3,242
5,105,1,54,3,27,1,119
1,32,1,29,2,21,2,227
10,111,0,30,10,17,2,325
1,118,0,40,85,15,1,119
6,97,0,64,2,57,2,0
10,110,0,55,90,109,4,108
6,97,0,66,3,66,2,0
6,97,1,66,2,31,1,343
6,95,1,37,2,161,1,118
6,95,0,69,3,201,1,312
4,100,1,60,2,97,3,108
6,49,0,165,4,162,2,268
0,27,0,70,4,3,1,0
0,89,0,38,45,35,1,177
4,18,0,69,2,8,1,0
4,121,1,35,2,8,2,121
6,97,0,65,3,12,1,0
10,110,0,235,3,127,1,276
0,42,0,38,30,1,9,67
10,111,0,54,60,44,1,176
1,32,1,30,2,142,1,27
0,27,0,31,90,4,1,159
4,18,0,84,1,234,3,343
6,97,1,45,2,76,2,30
10,33,1,43,2,47,1,339
4,18,0,77,7,56,2,268
1,53,1,38,4,92,1,0
10,33,0,39,2,175,3,155
10,33,0,44,2,46,3,227
4,18,0,149,1,126,3,347
6,96,0,87,3,273,10,275
6,94,0,95,3,253,10,265
5,80,1,27,3,52,11,220
5,80,1,27,3,56,11,352
5,80,1,27,3,121,11,349
5,80,1,27,3,147,11,341
5,80,0,36,3,197,11,248
5,101,1,30,3,1,2,0
5,101,1,30,4,1,2,0
9,107,1,55,3,27,1,73
6,91,1,28,3,43,1,275
1,134,0,72,3,14,1,0
10,111,1,35,5,12,1,0
6,98,1,40,3,24,1,20
6,98,0,70,5,34,1,7
6,94,1,48,2,8,1,258
4,18,0,54,90,133,3,0
6,98,0,38,90,6,1,36
4,2,0,95,4,16,1,304
1,115,0,65,2,258,1,352
6,49,0,65,10,87,1,323
0,57,1,49,2,43,1,190
1,32,0,60,1,138,2,314
6,98,1,70,2,141,2,247
0,89,0,48,30,4,1,307
11,4,1,50,6,77,1,0
1,118,1,35,2,81,2,0
4,2,0,65,5,19,1,0
0,79,1,29,10,38,1,286
11,8,0,74,6,5,1,352
4,73,0,60,14,1,1,159
6,13,0,48,2,108,1,252
1,134,0,59,3,58,1,4
4,100,1,36,2,65,7,23
10,110,1,39,2,231,1,109
4,18,0,36,90,121,3,160
1,134,0,89,3,313,1,159
1,118,0,78,5,9,1,0
6,98,1,49,2,16,1,362
1,118,0,82,3,180,2,262
4,74,0,33,62,19,3,0
4,74,0,33,62,23,3,0
4,74,0,33,62,10,3,0
5,102,0,60,2,41,1,3
9,88,0,48,4,1,1,0
6,90,1,40,4,54,1,363
7,82,0,45,30,12,1,0
1,32,1,25,3,75,1,328
4,18,1,29,5,275,1,80
1,32,0,49,90,15,1,221
5,101,0,67,180,54,3,12
1,30,1,33,1,19,1,153
6,96,0,65,180,34,3,1
1,118,0,80,20,15,1,58
5,105,0,86,4,26,1,173
0,79,0,75,12,5,1,0
9,107,1,40,3,108,2,312
5,105,0,51,60,139,2,147
6,49,0,130,5,42,1,0
6,49,0,80,4,10,1,310
6,98,0,99,3,148,1,216
4,2,1,180,2,12,1,365
5,102,1,25,10,6,1,28
5,102,0,50,3,11,1,0
5,105,0,36,60,15,1,362
4,17,0,39,90,9,2,155
1,118,0,64,3,32,1,68
4,2,1,100,3,51,1,0
9,133,0,65,6,8,1,201
4,18,0,70,2,115,2,140
4,18,0,85,2,90,2,127
1,32,0,65,3,44,4,246
4,100,1,39,2,18,7,0
6,55,1,22,2,28,1,330
1,32,1,51,2,86,1,339
6,97,1,29,2,21,1,0
1,135,0,37,60,9,1,72
7,83,0,50,5,26,2,62
0,129,1,60,3,10,1,295
6,98,1,59,7,7,1,0
6,97,0,56,180,19,3,0
6,49,0,48,2,141,1,150
6,98,0,109,60,55,1,155
4,18,0,130,5,6,1,252
9,132,0,90,2,13,1,339
1,118,0,83,2,211,1,254
6,55,0,70,2,77,1,352
1,118,0,60,2,14,1,0
6,49,0,209,2,10,2,5
6,98,0,70,4,9,1,0
1,118,1,44,3,27,1,18
6,98,1,34,3,75,1,0
1,32,1,30,1,17,2,243
5,105,1,33,5,5,1,0
0,27,0,95,60,67,2,325
4,121,1,35,2,111,1,286
5,101,0,47,30,14,1,50
6,49,0,189,3,107,1,344
1,134,1,30,30,154,1,193
10,110,0,85,3,42,2,93
1,32,1,15,3,276,1,33
1,135,0,58,5,8,1,0
0,27,0,53,4,73,2,146
4,2,1,45,3,41,1,304
1,30,1,35,1,12,1,0
5,105,0,65,3,76,1,304
10,110,0,65,3,57,1,284
4,2,1,44,3,168,1,341
4,2,0,125,1,234,2,359
0,79,1,45,1,16,1,0
1,118,0,50,7,3,1,0
4,18,0,75,2,267,3,314
4,18,0,75,2,227,3,324
6,98,0,73,4,152,2,0
1,118,0,39,7,5,1,0
4,18,0,98,3,7,2,0
1,118,0,65,3,6,1,0
1,135,0,80,2,45,1,293
6,95,0,37,5,5,1,31
6,49,1,35,5,47,1,308
11,4,0,50,7,2,1,0
5,101,1,35,5,10,1,7
10,111,0,235,4,51,2,347
10,117,0,55,3,149,1,297
1,118,0,60,17,17,2,67
1,115,0,115,3,99,1,66
6,98,1,46,1,482,2,265
11,4,0,37,7,1,1,0
6,95,0,52,14,35,1,255
6,49,0,99,2,61,2,269
11,99,0,51,3,5,1,282
6,97,0,160,3,2,1,0
4,2,0,63,4,10,1,11
5,102,1,49,1,255,2,37
5,80,1,40,3,7,1,0
4,74,1,90,3,90,2,153
